Name;FRANCE CAC 40 - PRICE INDEX
09/07/1987;1482.89
10/07/1987;1490.42
13/07/1987;1490.42
14/07/1987;1490.42
15/07/1987;1490.42
16/07/1987;1474.22
17/07/1987;1462.11
20/07/1987;1457.38
21/07/1987;1444.71
22/07/1987;1446.65
23/07/1987;1461.3
24/07/1987;1483.55
27/07/1987;1478.54
28/07/1987;1484.7
29/07/1987;1494.49
30/07/1987;1488.41
31/07/1987;1488.31
03/08/1987;1483.02
04/08/1987;1460.73
05/08/1987;1460.39
06/08/1987;1473.59
07/08/1987;1467.85
10/08/1987;1458.24
11/08/1987;1450.97
12/08/1987;1450.81
13/08/1987;1458.7
14/08/1987;1486.49
17/08/1987;1487.29
18/08/1987;1471.36
19/08/1987;1461.47
20/08/1987;1466.13
21/08/1987;1471.44
24/08/1987;1490.7
25/08/1987;1485.92
26/08/1987;1514.55
27/08/1987;1526.59
28/08/1987;1528.97
31/08/1987;1533.59
01/09/1987;1530.11
02/09/1987;1524
03/09/1987;1550.52
04/09/1987;1560.7
07/09/1987;1535.26
08/09/1987;1531.28
09/09/1987;1522.04
10/09/1987;1530.55
11/09/1987;1530.91
14/09/1987;1537.29
15/09/1987;1528.85
16/09/1987;1520.4
17/09/1987;1526.78
18/09/1987;1532.12
21/09/1987;1528.51
22/09/1987;1509.46
23/09/1987;1524.54
24/09/1987;1504.45
25/09/1987;1492.74
28/09/1987;1465.58
29/09/1987;1475.39
30/09/1987;1447.87
01/10/1987;1452.81
02/10/1987;1456.88
05/10/1987;1463
06/10/1987;1458.13
07/10/1987;1449.77
08/10/1987;1453.94
09/10/1987;1430.33
12/10/1987;1399.23
13/10/1987;1395.62
14/10/1987;1358.51
15/10/1987;1307.23
16/10/1987;1337.98
19/10/1987;1208.99
20/10/1987;1221.71
21/10/1987;1243.95
22/10/1987;1197.15
23/10/1987;1187.02
26/10/1987;1090.85
27/10/1987;1105.12
28/10/1987;1008.92
29/10/1987;1075.5
30/10/1987;1116.47
02/11/1987;1116.47
03/11/1987;1107.85
04/11/1987;1077.27
05/11/1987;1062.54
06/11/1987;1072.66
09/11/1987;1030.23
10/11/1987;954.72
11/11/1987;954.72
12/11/1987;1036.57
13/11/1987;1038.71
16/11/1987;1101.16
17/11/1987;1080.33
18/11/1987;1072.08
19/11/1987;1049.44
20/11/1987;1024.93
23/11/1987;1035.37
24/11/1987;1077.91
25/11/1987;1075.03
26/11/1987;1067.85
27/11/1987;1066.91
30/11/1987;1037.43
01/12/1987;1032.26
02/12/1987;1026.98
03/12/1987;1018.78
04/12/1987;989.14
07/12/1987;964.2
08/12/1987;972.6
09/12/1987;966.89
10/12/1987;964.15
11/12/1987;977.04
14/12/1987;996.5
15/12/1987;1016.91
16/12/1987;1039.43
17/12/1987;1025.69
18/12/1987;1019.37
21/12/1987;1036.78
22/12/1987;1030.52
23/12/1987;1046.77
24/12/1987;1046.77
25/12/1987;1046.77
28/12/1987;1018.76
29/12/1987;1008.88
30/12/1987;1011.69
31/12/1987;1000
01/01/1988;1000
04/01/1988;984.64
05/01/1988;1021.17
06/01/1988;1028.05
07/01/1988;1024.08
08/01/1988;1029.22
11/01/1988;998.73
12/01/1988;991.98
13/01/1988;967.86
14/01/1988;972.88
15/01/1988;1007.86
18/01/1988;987.59
19/01/1988;971.99
20/01/1988;940.64
21/01/1988;928.56
22/01/1988;917.26
25/01/1988;915.39
26/01/1988;923.39
27/01/1988;913.98
28/01/1988;903.65
29/01/1988;893.82
01/02/1988;911.8
02/02/1988;935.09
03/02/1988;957.95
04/02/1988;971.94
05/02/1988;986.88
08/02/1988;981.64
09/02/1988;980.96
10/02/1988;992.89
11/02/1988;1028.23
12/02/1988;1034.42
15/02/1988;1044.76
16/02/1988;1043.66
17/02/1988;1062.63
18/02/1988;1082.35
19/02/1988;1096.59
22/02/1988;1114.15
23/02/1988;1095.64
24/02/1988;1101.97
25/02/1988;1122.62
26/02/1988;1109.46
29/02/1988;1112.58
01/03/1988;1108.58
02/03/1988;1092.88
03/03/1988;1084.45
04/03/1988;1079.51
07/03/1988;1074.84
08/03/1988;1067.42
09/03/1988;1087.67
10/03/1988;1081.35
11/03/1988;1064.64
14/03/1988;1064.92
15/03/1988;1058.58
16/03/1988;1064.86
17/03/1988;1070.54
18/03/1988;1087.43
21/03/1988;1065.03
22/03/1988;1049.63
23/03/1988;1053.93
24/03/1988;1055.06
25/03/1988;1042.71
28/03/1988;1015.17
29/03/1988;1024.24
30/03/1988;1021.37
31/03/1988;1016.71
01/04/1988;1016.71
04/04/1988;1016.71
05/04/1988;1018.57
06/04/1988;1022.88
07/04/1988;1035.32
08/04/1988;1042.75
11/04/1988;1070.04
12/04/1988;1077.73
13/04/1988;1106.35
14/04/1988;1093.78
15/04/1988;1092.22
18/04/1988;1100.15
19/04/1988;1097.55
20/04/1988;1098.87
21/04/1988;1115.58
22/04/1988;1129.99
25/04/1988;1107.54
